rule_id,namespace,rule_name
0,anti-analysis,reference analysis tools strings
1,anti-analysis/anti-debugging/debugger-detection,check for software breakpoints
2,anti-analysis/anti-debugging/debugger-detection,check for time delay via GetTickCount
3,anti-analysis/anti-debugging/debugger-detection,check for time delay via QueryPerformanceCounter
4,anti-analysis/anti-debugging/debugger-detection,execute anti-debugging instructions
5,anti-analysis/anti-forensic,impersonate file version information
6,anti-analysis/anti-forensic/clear-logs,clear Windows event logs
7,anti-analysis/anti-forensic/self-deletion,self delete
8,anti-analysis/anti-forensic/timestomp,timestomp file
9,anti-analysis/anti-vm/vm-detection,check for foreground window switch
10,anti-analysis/anti-vm/vm-detection,reference anti-VM strings targeting Qemu
11,anti-analysis/anti-vm/vm-detection,reference anti-VM strings targeting VMWare
12,anti-analysis/anti-vm/vm-detection,reference anti-VM strings targeting VirtualBox
13,anti-analysis/obfuscation/string/stackstring,contain obfuscated stackstrings
14,collection,acquire credentials from Windows Credential Manager
15,collection,get geographical location
16,collection/browser,gather chrome based browser login information
17,collection/browser,gather firefox profile information
18,collection/credit-card,parse credit card information
19,collection/database/sql,reference SQL statements
20,collection/keylog,log keystrokes
21,collection/keylog,log keystrokes via Input Method Manager
22,collection/keylog,log keystrokes via polling
23,collection/keylog,log keystrokes via raw input data
24,collection/network,get MAC address on Windows
25,collection/network,get domain trust relationships
26,collection/screenshot,capture screenshot
27,collection/webcam,capture webcam image
28,communication,query remote server for available data
29,communication,receive data
30,communication,send data
31,communication/c2/file-transfer,download and write a file
32,communication/c2/file-transfer,receive and write data from server to client
33,communication/c2/file-transfer,write and execute a file
34,communication/c2/shell,create reverse shell
35,communication/dns,reference Google Public DNS server
36,communication/dns,resolve DNS
37,communication/http,connect network resource
38,communication/http,get HTTP content length
39,communication/http,initialize WinHTTP library
40,communication/http,parse URL
41,communication/http,read HTTP header
42,communication/http,reference HTTP User-Agent string
43,communication/http,send HTTP request with Host header
44,communication/http,set HTTP header
45,communication/http/client,check HTTP status code
46,communication/http/client,connect to HTTP server
47,communication/http/client,connect to URL
48,communication/http/client,create HTTP request
49,communication/http/client,download URL
50,communication/http/client,make an HTTP request with a Cookie
51,communication/http/client,prepare HTTP request
52,communication/http/client,read data from Internet
53,communication/http/client,receive HTTP response
54,communication/http/client,send HTTP request
55,communication/http/client,send file via HTTP
56,communication/http/server,receive HTTP request
57,communication/http/server,register HTTP server URL
58,communication/http/server,send HTTP response
59,communication/http/server,start HTTP server
60,communication/icmp,send ICMP echo request
61,communication/named-pipe/connect,connect pipe
62,communication/named-pipe/create,create pipe
63,communication/named-pipe/create,create two anonymous pipes
64,communication/named-pipe/read,read pipe
65,communication/named-pipe/write,write pipe
66,communication/rpc/server,listen for remote procedure calls
67,communication/socket,get socket information
68,communication/socket,get socket status
69,communication/socket,initialize Winsock library
70,communication/socket,set socket configuration
71,communication/socket/receive,receive data on socket
72,communication/socket/send,send data on socket
73,communication/socket/tcp,connect TCP socket
74,communication/socket/tcp,create TCP socket
75,communication/socket/udp/send,create UDP socket
76,communication/tcp/client,act as TCP client
77,communication/tcp/serve,start TCP server
78,compiler/delphi,compiled with Borland Delphi
79,data-manipulation/checksum/crc32,hash data using CRC32b
80,data-manipulation/checksum/crc32,hash data with CRC32
81,data-manipulation/checksum/luhn,validate payment card number using luhn algorithm
82,data-manipulation/compression,compress data using LZO
83,data-manipulation/compression,compress data via WinAPI
84,data-manipulation/compression,compress data via ZLIB inflate or deflate
85,data-manipulation/compression,decompress data using QuickLZ
86,data-manipulation/encoding,encode data using ADD XOR SUB operations
87,data-manipulation/encoding/base58,reference Base58 string
88,data-manipulation/encoding/base64,decode data using Base64 in .NET
89,data-manipulation/encoding/base64,decode data using Base64 via WinAPI
90,data-manipulation/encoding/base64,encode data using Base64
91,data-manipulation/encoding/base64,encode data using Base64 via WinAPI
92,data-manipulation/encoding/base64,reference Base64 string
93,data-manipulation/encoding/xor,encode data using XOR
94,data-manipulation/encryption,create new key via CryptAcquireContext
95,data-manipulation/encryption,encrypt or decrypt data via BCrypt
96,data-manipulation/encryption,encrypt or decrypt via WinCrypt
97,data-manipulation/encryption,get outbound credentials handle via CredSSP
98,data-manipulation/encryption,import public key
99,data-manipulation/encryption/aes,decrypt data using AES via x86 extensions
100,data-manipulation/encryption/aes,encrypt data using AES
101,data-manipulation/encryption/aes,encrypt data using AES via WinAPI
102,data-manipulation/encryption/aes,encrypt data using AES via x86 extensions
103,data-manipulation/encryption/aes,manually build AES constants
104,data-manipulation/encryption/aes,reference AES constants
105,data-manipulation/encryption/blowfish,encrypt data using blowfish
106,data-manipulation/encryption/camellia,encrypt data using Camellia
107,data-manipulation/encryption/des,encrypt data using DES
108,data-manipulation/encryption/des,encrypt data using DES via WinAPI
109,data-manipulation/encryption/dpapi,encrypt data using DPAPI
